{PRICE;CARD_NAME;MARKET_HASH_NAME;LAST_UPDATED}

{0.0;Bonny Clackers;443880-Bonny%20Clackers;2021-07-08}

{0.06;BOOGER;467330-BOOGER;2021-08-02}

{0.05;Bosses (Trading Card);455960-Bosses%20%28Trading%20Card%29;2021-08-02}

{0.0;Brave Explorer (Trading Card);443880-Brave%20Explorer%20%28Trading%20Card%29;2021-07-08}

{0.0;Breaking;527550-Breaking;2021-07-08}

{0.05;Brendon the Cat;370130-Brendon%20the%20Cat;2021-08-02}

{0.0;Butchery;502100-Butchery;2021-07-08}

{0.0;Bye Bye;502100-Bye%20Bye;2021-07-08}

{0.0;Cabane;486120-Cabane;2021-07-08}

{0.0;Calypso;461940-Calypso;2021-07-08}

{0.0;Candle;442000-Candle;2021-07-08}

{0.0;Candle;486120-Candle;2021-07-08}

{0.0;Cannon Tower;455960-Cannon%20Tower;2021-07-08}

{0.0;Caribbean Island;530550-Caribbean%20Island;2021-07-08}

{0.0;Caves;455960-Caves;2021-07-08}

{0.0;Champions are not born;432020-Champions%20are%20not%20born;2021-07-08}

{0.04;Child Card;629380-Child%20Card;2021-08-02}

{0.0;Circus;502100-Circus;2021-07-08}

{0.0;Command Ship;525070-Command%20Ship;2021-07-08}

{0.04;Concept Art;270570-Concept%20Art;2021-08-02}

{0.0;Crazy Toys;530550-Crazy%20Toys;2021-07-08}

{0.0;Crime against humanity;468570-Crime%20against%20humanity;2021-07-08}

{0.06;Curse of Beast;418950-Curse%20of%20Beast;2021-08-02}

{0.06;Darkwing;501030-Darkwing;2021-08-02}

{0.05;DECK #2;364690-DECK%20%232;2021-08-02}

{0.0;Defender;411120-Defender;2021-07-08}

{0.0;Defender of Ammon;492870-Defender%20of%20Ammon;2021-07-08}

{0.0;Delin;228260-Delin;2021-07-08}

{0.0;Desert Wanderer;492870-Desert%20Wanderer;2021-07-08}

{0.0;Desolation;468570-Desolation;2021-07-08}

{0.0;Disasteroids (Trading Card);622170-Disasteroids%20%28Trading%20Card%29;2021-07-08}

{0.0;Disgruntled Ex-Boyfriend;549240-Disgruntled%20Ex-Boyfriend;2021-07-08}

{0.0;Doctor;574850-Doctor;2021-07-08}

{0.04;Dodge Mode;614030-Dodge%20Mode;2021-08-02}

{0.06;Dragons;455960-Dragons;2021-08-02}

{0.0;Dry Run;622170-Dry%20Run;2021-07-08}

{0.05;Earth;525070-Earth;2021-08-02}

{0.0;Electric Entity;269690-Electric%20Entity;2021-07-08}

{0.05;Empress Galina;489070-Empress%20Galina;2021-08-02}

{0.0;Endeavour;630030-Endeavour;2021-07-08}

{0.05;Engine Driver;609100-Engine%20Driver;2021-08-02}

{0.06;Enitan;353990-Enitan;2021-08-02}

{0.05;Eritha;643880-Eritha;2021-08-02}

{0.0;Eve;492130-Eve;2021-07-08}

{0.0;Evil Cat Die-Die-Die;525150-Evil%20Cat%20Die-Die-Die;2021-07-08}

{0.0;Factory;502100-Factory;2021-07-08}

{0.04;Farmer;548480-Farmer;2021-08-02}

{0.05;Farzia;353990-Farzia;2021-08-02}

{0.0;Father Wise;495350-Father%20Wise;2021-07-08}

{0.05;Ferret Breath;542200-Ferret%20Breath;2021-08-02}

{0.06;Fire in the hole !;525070-Fire%20in%20the%20hole%20%21;2021-08-02}

{0.0;Flamboyant Superhero Concepts;336730-Flamboyant%20Superhero%20Concepts;2021-07-08}

{0.04;Flatepetl;405970-Flatepetl;2021-08-02}

{0.0;Florida;558260-Florida;2021-07-08}

{0.0;Flying guy;644310-Flying%20guy;2021-07-08}

{0.0;Fox (Trading Card);416310-Fox%20%28Trading%20Card%29;2021-07-08}

{0.0;Freezing;473730-Freezing;2021-07-08}

{0.0;Frosty Frank;485870-Frosty%20Frank;2021-07-08}

{0.0;Goblin-trader;450190-Goblin-trader;2021-07-08}

{0.05;God-like;583490-God-like;2021-08-02}

{0.05;Golems;455960-Golems;2021-08-02}

{0.0;Good looking zombie;572010-Good%20looking%20zombie;2021-07-08}

{0.05;GooMax;450190-GooMax;2021-08-02}

{0.0;Grabbler;443880-Grabbler;2021-07-08}

{0.05;Greedy sentry;450190-Greedy%20sentry;2021-08-02}

{0.0;Grim Reaper;376920-Grim%20Reaper;2021-07-08}

{0.05;Grotesque;501030-Grotesque;2021-08-02}

{0.06;Ground Smash;454080-Ground%20Smash;2021-08-02}

{0.0;Gunslinger;585360-Gunslinger;2021-07-08}

{0.0;Hook;581010-Hook;2021-07-08}

{0.0;Human reputation card;463670-Human%20reputation%20card;2021-07-08}

{0.0;HUNTER;567600-HUNTER;2021-07-08}

{0.0;Hyena;448690-Hyena;2021-07-08}

{0.0;Ice;544180-Ice;2021-07-08}

{0.0;Ice Tower;455960-Ice%20Tower;2021-07-08}

{0.0;Interspace shuttle;520530-Interspace%20shuttle;2021-07-08}

{0.0;Isabelle;454690-Isabelle;2021-07-08}

{0.0;Japan Mystery;530550-Japan%20Mystery;2021-07-08}

{0.0;Joe;338120-Joe;2021-07-08}

{0.03;Jovial - An Alchemist;485390-Jovial%20-%20An%20Alchemist;2021-08-02}

{0.0;Katy Kasari;542200-Katy%20Kasari;2021-07-08}

{0.0;Keep calm and avoid birds;477290-Keep%20calm%20and%20avoid%20birds;2021-07-08}

{0.0;Kim;461760-Kim;2021-07-08}

{0.0;Lady;357310-Lady;2021-07-08}

{0.05;Lagrange Point;454780-Lagrange%20Point;2021-08-02}

{0.0;Laser;397980-Laser;2021-07-08}

{0.0;Lex the Half-breed;489070-Lex%20the%20Half-breed;2021-07-08}

{0.06;Life Energy Elem;528670-Life%20Energy%20Elem;2021-08-02}

{0.0;Light bulb;462400-Light%20bulb;2021-07-08}

{0.04;Lines;461880-Lines;2021-08-02}

{0.0;Lion cub 2;448690-Lion%20cub%202;2021-07-08}

{0.04;Lora Art;485390-Lora%20Art;2021-07-23}

{0.04;Lord Clonington The Strongman;530020-Lord%20Clonington%20The%20Strongman;2021-07-23}

{0.06;Lord Rayne;544140-Lord%20Rayne;2021-07-23}

{0.0;LotsaPoops;485870-LotsaPoops;2021-07-08}

{0.0;Mad Marauder;341160-Mad%20Marauder;2021-07-08}

{0.0;Magic Potion;340830-Magic%20Potion;2021-07-08}

{0.05;Maireno;384680-Maireno;2021-07-23}

{0.0;Max E. Mumm;695600-Max%20E.%20Mumm;2021-07-08}

{0.04;Mercenaries;270570-Mercenaries;2021-07-23}

{0.05;Mercury;525070-Mercury;2021-07-23}

{0.05;Metal;442000-Metal;2021-07-23}

{0.0;Military truck;526250-Military%20truck;2021-07-08}

{0.04;Miss Teri The Treasure Hunter;530020-Miss%20Teri%20The%20Treasure%20Hunter;2021-07-23}

{0.05;Moabite Marksman;492870-Moabite%20Marksman;2021-07-23}

{0.0;Mold One;454690-Mold%20One;2021-07-08}

{0.0;Mr. Gray Cube;512450-Mr.%20Gray%20Cube;2021-07-08}

{0.0;Mr. Pink Cube;512450-Mr.%20Pink%20Cube;2021-07-08}

{0.0;Mr. Purple Cube;512450-Mr.%20Purple%20Cube;2021-07-08}

{0.0;Murder of the Cosmic Storm;549900-Murder%20of%20the%20Cosmic%20Storm;2021-07-08}

{0.0;Mynaxtor;466420-Mynaxtor;2021-07-08}

{0.05;Nachalnik;449530-Nachalnik;2021-07-23}

{0.05;Newspaper;502100-Newspaper;2021-07-23}

{0.0;NIGHTMR;431200-NIGHTMR;2021-07-08}

{0.04;Oblivion Relic;452060-Oblivion%20Relic;2021-07-23}

{0.05;Ogron;443880-Ogron;2021-07-23}

{0.05;Old Stairs;546700-Old%20Stairs;2021-07-23}

{0.06;On the beat;514970-On%20the%20beat;2021-07-23}

{0.06;Orbital sentient plasma sniper;355430-Orbital%20sentient%20plasma%20sniper;2021-07-23}

{0.07;Order Demon;493780-Order%20Demon;2021-07-23}

{0.05;Overpass for cars;610660-Overpass%20for%20cars;2021-07-23}

{0.0;Page 6 - Nightfall Arrives;335220-Page%206%20-%20Nightfall%20Arrives;2021-07-08}

{0.0;Pages;499340-Pages;2021-07-08}

{0.05;Pam;461760-Pam;2021-07-23}

{0.05;Patriotmobile Concepts;336730-Patriotmobile%20Concepts;2021-07-23}

{0.0;Pink star;462400-Pink%20star;2021-07-08}

{0.0;Pirate;460190-Pirate;2021-07-08}

{0.05;Pitboy (Trading Card);452060-Pitboy%20%28Trading%20Card%29;2021-07-23}

{0.05;Portal;595640-Portal;2021-07-23}

{0.0;Power dog;599100-Power%20dog;2021-07-08}

{0.0;Priest;486500-Priest;2021-07-08}

{0.05;Professor Samuel Hunt;410130-Professor%20Samuel%20Hunt;2021-07-23}

{0.0;Proud Servers;468570-Proud%20Servers;2021-07-08}

{0.0;Puppy;605530-Puppy;2021-07-08}

{0.0;Purple Patriot Concepts;336730-Purple%20Patriot%20Concepts;2021-07-08}

{0.06;Pyro;302590-Pyro;2021-07-23}

{0.0;Rajah of Maakah;492870-Rajah%20of%20Maakah;2021-07-08}

{0.04;Robo Card;629380-Robo%20Card;2021-07-23}

{0.04;Robot Turret;485500-Robot%20Turret;2021-07-23}

{0.0;Rocky Road;542200-Rocky%20Road;2021-07-08}

{0.05;Rogue (Hero);492290-Rogue%20%28Hero%29;2021-07-23}

{0.05;Ron;461760-Ron;2021-07-23}

{0.0;Ronald the Bear;370130-Ronald%20the%20Bear;2021-07-08}

{0.0;Room;486120-Room;2021-07-08}

{0.05;Sad farmer;400790-Sad%20farmer;2021-07-23}

{0.04;Sage;286120-Sage;2021-07-23}

{0.0;Saika from hotel;625400-Saika%20from%20hotel;2021-07-08}

{0.05;Sally Gropner;527820-Sally%20Gropner;2021-07-23}

{0.0;Samurai Warrior;466420-Samurai%20Warrior;2021-07-08}

{0.05;Sayuri;520520-Sayuri;2021-07-23}

{0.04;Scientist Card;629380-Scientist%20Card;2021-07-23}

{0.0;Shadow Dancer;284990-Shadow%20Dancer;2021-07-08}

{0.0;Shadow of the Mountain;492870-Shadow%20of%20the%20Mountain;2021-07-08}

{0.04;Shaman;338310-Shaman;2021-07-23}

{0.04;She's blonde and dangerous! (Trading Card);572010-She%27s%20blonde%20and%20dangerous%21%20%28Trading%20Card%29;2021-07-23}

{0.0;SHEMP;467330-SHEMP;2021-07-08}

{0.04;Sheriff;548480-Sheriff;2021-07-23}

{0.0;Shinzuke Gokowan;485430-Shinzuke%20Gokowan;2021-07-08}

{0.04;Shortest Route;324060-Shortest%20Route;2021-07-23}

{0.07;Shrimp the Shrimp;610310-Shrimp%20the%20Shrimp;2021-07-23}

{0.0;Siaphy;616030-Siaphy;2021-07-08}

{0.0;Sister-lionessy;448690-Sister-lionessy;2021-07-08}

{0.05;Sketchy Helaway;488330-Sketchy%20Helaway;2021-07-23}

{0.0;Sketchy Moon Men;488330-Sketchy%20Moon%20Men;2021-07-08}

{0.04;Snorthog;530020-Snorthog;2021-07-23}

{0.0;Solar Divan;553340-Solar%20Divan;2021-07-08}

{0.0;Son of Ishbi;492870-Son%20of%20Ishbi;2021-07-08}

{0.0;Sonic;627670-Sonic;2021-07-08}

{0.05;Space Girl Card;629380-Space%20Girl%20Card;2021-07-23}

{0.0;Spikes;619520-Spikes;2021-07-08}

{0.05;Stan Concepts;336730-Stan%20Concepts;2021-07-23}

{0.0;Star player 8;475470-Star%20player%208;2021-07-08}

{0.0;Stella (Trading Card);555650-Stella%20%28Trading%20Card%29;2021-07-08}

{0.04;Straima;515650-Straima;2021-07-23}

{0.0;Sun;525070-Sun;2021-07-08}

{0.0;Sweet dreams and desires;461140-Sweet%20dreams%20and%20desires;2021-07-08}

{0.0;Tactician of Edom;492870-Tactician%20of%20Edom;2021-07-08}

{0.05;Tank;495570-Tank;2021-07-23}

{0.0;Tater Trooper (CGA);356200-Tater%20Trooper%20%28CGA%29;2021-07-08}

{0.0;Tay;390870-Tay;2021-07-08}

{0.0;Temple;513340-Temple;2021-07-08}

{0.0;Terraformer;312960-Terraformer;2021-07-08}

{0.0;Terran - Lance MK I;312960-Terran%20-%20Lance%20MK%20I;2021-07-08}

{0.05;Terran Air Strike;455200-Terran%20Air%20Strike;2021-07-23}

{0.05;Terran Artillery;455200-Terran%20Artillery;2021-07-23}

{0.05;Terran Drop Squad;455200-Terran%20Drop%20Squad;2021-07-23}

{0.05;Terran Shock Troops;455200-Terran%20Shock%20Troops;2021-07-23}

{0.0;Tesla Tower;455960-Tesla%20Tower;2021-07-08}

{0.0;Tezcatlipoca;595480-Tezcatlipoca;2021-07-08}

{0.0;The Bookbinder;388960-The%20Bookbinder;2021-07-08}

{0.0;The Bringer of Life (Trading Card);428590-The%20Bringer%20of%20Life%20%28Trading%20Card%29;2021-07-08}

{0.0;The Burning Shore;492870-The%20Burning%20Shore;2021-07-08}

{0.04;The castle is on fire;450190-The%20castle%20is%20on%20fire;2021-07-23}

{0.0;The City (Trading Card);455200-The%20City%20%28Trading%20Card%29;2021-07-08}

{0.0;The Danko & ButterFlies;575130-The%20Danko%20%26%20ButterFlies;2021-07-08}

{0.0;The Dark Lord;418310-The%20Dark%20Lord;2021-07-08}

{0.0;The endangered horned Loner;287200-The%20endangered%20horned%20Loner;2021-07-08}

{0.05;The Farmer;557830-The%20Farmer;2021-07-23}

{0.0;The Great Battle;466420-The%20Great%20Battle;2021-07-08}

{0.0;The Japanese's Landing;466420-The%20Japanese%27s%20Landing;2021-07-08}

{0.05;The Knight;262470-The%20Knight;2021-07-23}

{0.0;The Librarian;527820-The%20Librarian;2021-07-08}

{0.05;The Mine;568930-The%20Mine;2021-07-23}

{0.0;The Monk;262470-The%20Monk;2021-07-08}

{0.0;The Sant' Elias Family;352550-The%20Sant%27%20Elias%20Family;2021-07-08}

{0.07;The Spear Plea;470270-The%20Spear%20Plea;2021-07-23}

{0.05;The Toad;465760-The%20Toad;2021-07-23}

{0.0;The Voyager;363510-The%20Voyager;2021-07-08}

{0.0;The wait;468570-The%20wait;2021-07-08}

{0.04;The Wildlands;498700-The%20Wildlands;2021-07-23}

{0.0;The Wizard;384250-The%20Wizard;2021-07-08}

{0.0;Tiki Man;376920-Tiki%20Man;2021-07-08}

{0.0;Tire;486120-Tire;2021-07-08}

{0.0;TR2-D74 CortexGear;375620-TR2-D74%20CortexGear;2021-07-08}

{0.0;Turbine;622170-Turbine;2021-07-08}

{0.05;Tutor of the Elite;492870-Tutor%20of%20the%20Elite;2021-07-23}

{0.06;Unnamed City;594720-Unnamed%20City;2021-07-23}

{0.0;Vilio;244890-Vilio;2021-07-08}

{0.0;Villagers (Trading Card);581970-Villagers%20%28Trading%20Card%29;2021-07-08}

{0.0;War Gear III;650780-War%20Gear%20III;2021-07-08}

{0.04;Warrior;463000-Warrior;2021-07-23}

{0.04;Water Elem;528670-Water%20Elem;2021-07-23}

{0.0;Weapon;443940-Weapon;2021-07-08}

{0.0;Wee Beastie;41900-Wee%20Beastie;2021-07-08}

{0.05;White Knight;636370-White%20Knight;2021-07-23}

{0.0;White whale;601980-White%20whale;2021-07-08}

{0.0;Wind Walker;466420-Wind%20Walker;2021-07-08}

{0.0;Wizard;460190-Wizard;2021-07-08}

{0.0;Wook;443880-Wook;2021-07-08}

{0.05;World of the Dead;498700-World%20of%20the%20Dead;2021-07-23}

{0.0;XVOR;467330-XVOR;2021-07-08}

{0.04;Zeal;385080-Zeal;2021-07-23}

{0.04;Zombie;467310-Zombie;2021-07-23}

{0.0;Zombie Apocalypse;460190-Zombie%20Apocalypse;2021-07-08}

{0.0;Сreased;473730-%D0%A1reased;2021-07-08}

{2.78;Survive the Apocalypse (Foil);427190-Survive%20the%20Apocalypse%20%28Foil%29;2021-07-23}

{0.0;ElDeR cHaOs GoD (Foil Trading Card);333300-ElDeR%20cHaOs%20GoD%20%28Foil%20Trading%20Card%29;2021-07-08}

{0.0;Muyue (Foil Trading Card);427030-Muyue%20%28Foil%20Trading%20Card%29;2021-07-08}

{0.0;Clown girl (Foil);413680-Clown%20girl%20%28Foil%29;2021-07-08}

{0.0;Chef (Foil);397390-Chef%20%28Foil%29;2021-07-08}

{1.11;Asaga (Foil Trading Card);358750-Asaga%20%28Foil%20Trading%20Card%29;2021-07-23}

{0.0;Earth: Stadium (Foil);375910-Earth%3A%20Stadium%20%28Foil%29;2021-07-08}

{0.87;Spacewalker (Foil);454900-Spacewalker%20%28Foil%29;2021-07-23}

{0.0;Market;385880-Market;2021-07-08}

{0.15;Manga (Trading Card);370560-Manga%20%28Trading%20Card%29;2021-07-23}

{0.0;Gateway (Foil);388880-Gateway%20%28Foil%29;2021-07-08}

{0.0;Ode Earthlink;504670-Ode%20Earthlink;2021-07-08}

{0.0;Ice King;369300-Ice%20King;2021-07-08}

{0.0;Marceline (Trading Card);369300-Marceline%20%28Trading%20Card%29;2021-07-08}

{0.0;Flame Princess;369300-Flame%20Princess;2021-07-08}

{0.0;Grand bay;421960-Grand%20bay;2021-07-08}

{0.42;Pandora's Box;467320-Pandora%27s%20Box;2021-07-23}

{0.47;Dead Rising (Foil Trading Card);427190-Dead%20Rising%20%28Foil%20Trading%20Card%29;2021-07-23}

{0.14;Dog;378030-Dog;2021-07-23}

{0.25;Transitional Support;516840-Transitional%20Support;2021-07-23}

{0.0;Bartleby Worker;372250-Bartleby%20Worker;2021-07-08}

{0.0;F-16 Takeoff (Trading Card);429530-F-16%20Takeoff%20%28Trading%20Card%29;2021-07-08}

{0.0;Finn;369300-Finn;2021-07-08}

{0.3;Silke Kaneshiro;310380-Silke%20Kaneshiro;2021-07-23}

{0.0;Maglev;373650-Maglev;2021-07-08}

{0.24;Zombie Woman;452340-Zombie%20Woman;2021-07-23}

{0.0;Bat;454610-Bat;2021-07-08}

{0.17;Big Troll;454610-Big%20Troll;2021-07-23}

{0.0;Clea Holden (Trading Card);372250-Clea%20Holden%20%28Trading%20Card%29;2021-07-08}

{0.0;Data Disk (Foil);406970-Data%20Disk%20%28Foil%29;2021-07-08}

{0.0;Full House (Trading Card);476930-Full%20House%20%28Trading%20Card%29;2021-07-08}

{0.61;The Picture;375680-The%20Picture;2021-07-23}

{0.0;Sh#&!y Jim (Foil);428530-Sh%23%26%21y%20Jim%20%28Foil%29;2021-07-08}

{0.24;Titan;467320-Titan;2021-07-23}

{0.0;!? (Foil);448940-%21%3F%20%28Foil%29;2021-07-08}

{0.07;Graham;424010-Graham;2021-07-23}

{0.0;Tiger I;396320-Tiger%20I;2021-07-08}

{0.0;Captain;403100-Captain;2021-07-08}

{0.11;fall;432170-fall;2021-07-23}

{0.0;Groenk the Orc;389190-Groenk%20the%20Orc;2021-07-08}

{0.0;The competitor;421960-The%20competitor;2021-07-08}

{0.08;The Known World;460780-The%20Known%20World;2021-07-23}

{0.11;The Witch;422110-The%20Witch;2021-07-23}

{0.0;Cavalry;369390-Cavalry;2021-07-08}

{0.0;Death by Strangulation (Foil);371970-Death%20by%20Strangulation%20%28Foil%29;2021-07-08}

{0.0;Flash of the Debris Blade!;454410-Flash%20of%20the%20Debris%20Blade%21;2021-07-08}

{0.0;Lieutenant;465360-Lieutenant;2021-07-08}

{0.0;Mantankcore;453810-Mantankcore;2021-07-08}

{0.31;MysteryMushroom;464040-MysteryMushroom;2021-07-23}

{0.18;Officer Harding, The Cop;466800-Officer%20Harding%2C%20The%20Cop;2021-07-23}

{0.17;Riot;460750-Riot;2021-07-23}

{0.11;Scarlet Fury;496590-Scarlet%20Fury;2021-07-23}

{0.0;Sweet and sour dreams;447010-Sweet%20and%20sour%20dreams;2021-07-08}

{0.0;Whomper;496510-Whomper;2021-07-08}

{0.13;Abbey Dungeon;462860-Abbey%20Dungeon;2021-07-23}

{0.13;Alice;522010-Alice;2021-07-23}

{0.0;Ashley (Foil);448510-Ashley%20%28Foil%29;2021-07-08}

{0.0;Evil has a Middle Name;461230-Evil%20has%20a%20Middle%20Name;2021-07-08}

{0.42;Evolutionary leap;495090-Evolutionary%20leap;2021-07-23}

{0.0;Kara Winterblade;291410-Kara%20Winterblade;2021-07-08}

{0.12;Leviathan;290000-Leviathan;2021-07-23}

{0.0;Little Dead Piggy;447010-Little%20Dead%20Piggy;2021-07-08}

{0.0;Luminescence;394830-Luminescence;2021-07-08}

{0.13;Mechanic Bot;380220-Mechanic%20Bot;2021-07-23}

{0.18;Mechanic Man;380220-Mechanic%20Man;2021-07-23}

{0.0;Necromancer;428110-Necromancer;2021-07-08}

{0.0;She loves Cupakes;512020-She%20loves%20Cupakes;2021-07-08}

{0.0;Shortbow Archer;329280-Shortbow%20Archer;2021-07-08}

{0.18;The Doomsday Defense;501190-The%20Doomsday%20Defense;2021-07-23}

{0.26;United States;436270-United%20States;2021-07-23}

{0.0;Boarding house;485690-Boarding%20house;2021-07-08}

{0.0;Cassyva Soulreaper;291410-Cassyva%20Soulreaper;2021-07-08}

{0.0;EN_Kichō;392470-EN_Kich%C5%8D;2021-07-08}

{0.0;Garish Hind;421960-Garish%20Hind;2021-07-08}

{0.13;Group A;487370-Group%20A;2021-07-23}

{0.08;Henry;424010-Henry;2021-07-23}

{0.07;Incursion Ship (Trading Card);436360-Incursion%20Ship%20%28Trading%20Card%29;2021-07-23}

{0.0;Joker;393860-Joker;2021-07-08}

{0.0;Judicious General;423800-Judicious%20General;2021-07-08}

{0.0;Launch Code Red;370490-Launch%20Code%20Red;2021-07-08}

{0.0;Magic Balance;421030-Magic%20Balance;2021-07-08}

{0.16;Menkalinan Manufactory;368700-Menkalinan%20Manufactory;2021-07-23}

{0.0;Mr. Castellano;403590-Mr.%20Castellano;2021-07-08}

{0.0;Peacekeepers (Trading Card);518670-Peacekeepers%20%28Trading%20Card%29;2021-07-08}

{0.0;Puzzle (Foil Trading Card);437920-Puzzle%20%28Foil%20Trading%20Card%29;2021-07-08}

{0.14;Resplendent Trickster;423800-Resplendent%20Trickster;2021-07-23}

{0.11;Shadow Bear;434220-Shadow%20Bear;2021-07-23}

{0.0;So Long Will Scout!;489470-So%20Long%20Will%20Scout%21;2021-07-08}

{0.0;Sun;509960-Sun;2021-07-08}

{0.14;The Kitchen;367010-The%20Kitchen;2021-07-23}

{0.0;Vaath the Immortal;291410-Vaath%20the%20Immortal;2021-07-08}

{0.0;Wespe;396320-Wespe;2021-07-08}

{0.08;Wizard;378030-Wizard;2021-07-23}

{0.0;Woodle Beaver;495350-Woodle%20Beaver;2021-07-08}

{0.0;You're a Superstar!;476930-You%27re%20a%20Superstar%21;2021-07-08}

{0.12;Young girl;437180-Young%20girl;2021-07-23}

{0.09;Arctic Shaman;454870-Arctic%20Shaman;2021-07-23}

{0.0;ASMR Tingles;448830-ASMR%20Tingles;2021-07-08}

{0.0;Atlas;415980-Atlas;2021-07-08}

{0.11;Attaius;442080-Attaius;2021-07-23}

{0.08;Ben Workl;443570-Ben%20Workl;2021-07-23}

{0.1;Blue Pill;427770-Blue%20Pill;2021-07-23}

{0.0;Boss;398160-Boss;2021-07-08}

{0.0;Crackjack;443450-Crackjack;2021-07-08}

{0.0;Creativity;434290-Creativity;2021-07-08}

{0.0;Crystal Blade;375930-Crystal%20Blade;2021-07-08}

{0.07;Curator Dungeon;462860-Curator%20Dungeon;2021-07-23}

{0.11;Doll;521210-Doll;2021-07-23}

{0.16;Eastwater Village;244930-Eastwater%20Village;2021-07-23}

{0.13;First Lieutenant Nia Rhys;355310-First%20Lieutenant%20Nia%20Rhys;2021-07-23}

{0.0;Ghost;371530-Ghost;2021-07-08}

{0.0;Gold strength;508600-Gold%20strength;2021-07-08}

{0.08;Grosse Baleine;368700-Grosse%20Baleine;2021-07-23}

{0.0;Hammer Shark;421960-Hammer%20Shark;2021-07-08}

{2.48;Agumon (Trading Card);537180-Agumon%20%28Trading%20Card%29;2021-07-23}

{1.1;Susanoomon (Trading Card);537180-Susanoomon%20%28Trading%20Card%29;2021-07-23}

{3.93;Anonymous (Foil Trading Card);526740-Anonymous%20%28Foil%20Trading%20Card%29;2021-07-23}

{1.28;Key (Foil);526740-Key%20%28Foil%29;2021-07-23}

{0.0;Amon (Foil);258030-Amon%20%28Foil%29;2021-07-08}

{0.0;Jacob Rasmussen (Trading Card);464190-Jacob%20Rasmussen%20%28Trading%20Card%29;2021-07-08}

{0.0;Zir'an Sunforge (Foil);291410-Zir%27an%20Sunforge%20%28Foil%29;2021-07-08}

{0.0;Log (Foil);526740-Log%20%28Foil%29;2021-07-08}

{0.0;The Harbor;550440-The%20Harbor;2021-07-08}

{0.71;Gluttony (Foil);528300-Gluttony%20%28Foil%29;2021-07-23}

{0.0;Upgrade (Trading Card);437510-Upgrade%20%28Trading%20Card%29;2021-07-08}

{0.0;Cerberus (Foil);407560-Cerberus%20%28Foil%29;2021-07-08}

{0.0;HuangZhong;534500-HuangZhong;2021-07-08}

{0.0;Boat (Foil);516750-Boat%20%28Foil%29;2021-07-08}

{0.09;Dale Carter;457880-Dale%20Carter;2021-07-23}

{0.0;Queen;488950-Queen;2021-07-08}

{0.21;Sup YouTube!;539640-Sup%20YouTube%21;2021-07-23}

{0.0;Thief;331570-Thief;2021-07-08}

{0.0;Xiahouyuan;534500-Xiahouyuan;2021-07-08}

{0.0;A good looking level;539380-A%20good%20looking%20level;2021-07-08}

{0.0;Daqiao;534500-Daqiao;2021-07-08}

{0.0;Logo (Foil);526740-Logo%20%28Foil%29;2021-07-08}

{0.17;Slice You Up;468310-Slice%20You%20Up;2021-07-23}

{0.0;Steam Ball (Trading Card);567040-Steam%20Ball%20%28Trading%20Card%29;2021-07-08}

{0.23;Archangel Samael;542240-Archangel%20Samael;2021-07-23}

{0.0;Luoyang;534500-Luoyang;2021-07-08}

{0.0;Wisdom;528460-Wisdom;2021-07-08}

{0.16;DJ Mimpi;444770-DJ%20Mimpi;2021-07-23}

{0.0;Dragon (Trading Card);532660-Dragon%20%28Trading%20Card%29;2021-07-08}

{0.0;Facehugger;522020-Facehugger;2021-07-08}

{0.0;Graven Ashe, Archon of War (Foil);362960-Graven%20Ashe%2C%20Archon%20of%20War%20%28Foil%29;2021-07-08}

{0.28;Heaven Fire (Foil);410430-Heaven%20Fire%20%28Foil%29;2021-07-23}

{0.0;MC POX (Foil);533120-MC%20POX%20%28Foil%29;2021-07-08}

{0.0;Nightingale;425040-Nightingale;2021-07-08}

{0.29;Paige;540780-Paige;2021-07-23}

{0.18;Satanism;476020-Satanism;2021-07-23}

{0.0;The Church;378930-The%20Church;2021-07-08}

{0.16;Village Idiot;488950-Village%20Idiot;2021-07-23}

{0.11;Atlas;452230-Atlas;2021-07-23}

{0.19;Door;396530-Door;2021-07-23}

{0.0;Dr Christine Hansen (Trading Card);464190-Dr%20Christine%20Hansen%20%28Trading%20Card%29;2021-07-08}

{0.0;Flaklypa (Foil);513510-Flaklypa%20%28Foil%29;2021-07-08}

{0.12;Garlic;543140-Garlic;2021-07-23}

{0.0;Giant Worm;524680-Giant%20Worm;2021-07-08}

{0.0;Gorodok (Foil);393380-Gorodok%20%28Foil%29;2021-07-08}

{0.11;Grinding Wheels;396530-Grinding%20Wheels;2021-07-23}

{0.09;J.A.C.K. Path Tool;496450-J.A.C.K.%20Path%20Tool;2021-07-23}

